UniProtIds	PLFrequency
P06733	0.909
O43707	0.818
P04406	0.818
P06744	0.818
P14618	0.818
P21333	0.818
P63261	0.818
Q14697	0.818
P00338	0.727
P08238	0.727
P29401	0.727
P35579	0.727
P49327	0.727
P53396	0.727
P68371	0.727
P00558	0.636
P07900	0.636
P22314	0.636
P68104	0.636
P78371	0.636
P78527	0.636
P00966	0.545
P02545	0.545
P04075	0.545
P05783	0.545
P06748	0.545
P07195	0.545
P07814	0.545
P08758	0.545
P10809	0.545
P13639	0.545
P17987	0.545
P46940	0.545
P62258	0.545
P62826	0.545
Q14204	0.545
O14980	0.455
O75533	0.455
P0DMV8	0.455
P0DMV9	0.455
P11142	0.455
P12268	0.455
P13010	0.455
P14625	0.455
P18124	0.455
P19338	0.455
P35908	0.455
P48643	0.455
P49588	0.455
P49915	0.455
P55060	0.455
P55072	0.455
P63104	0.455
Q00610	0.455
Q00839	0.455
Q09666	0.455
Q9Y6U3	0.455
O43143	0.364
O43175	0.364
O75369	0.364
O75874	0.364
P00441	0.364
P04264	0.364
P05386	0.364
P05387	0.364
P07237	0.364
P07355	0.364
P08670	0.364
P13645	0.364
P14174	0.364
P17844	0.364
P18206	0.364
P23381	0.364
P23528	0.364
P23921	0.364
P26038	0.364
P27797	0.364
P30041	0.364
P31948	0.364
P39023	0.364
P50991	0.364
P51858	0.364
P52272	0.364
P61247	0.364
P61981	0.364
P62937	0.364
P67809	0.364
Q04446	0.364
Q04637	0.364
Q14974	0.364
Q15233	0.364
Q15436	0.364
Q16881	0.364
Q71U36	0.364
Q92616	0.364
Q96K17	0.364
Q99497	0.364
Q9UBE0	0.364
O43852	0.273
O60701	0.273
O60841	0.273
O75153	0.273
P00491	0.273
P02538	0.273
P02768	0.273
P02794	0.273
P04792	0.273
P05187	0.273
P06576	0.273
P06873	0.273
P07437	0.273
P07737	0.273
P07741	0.273
P08729	0.273
P09874	0.273
P10599	0.273
P12004	0.273
P12814	0.273
P12956	0.273
P15311	0.273
P15328	0.273
P15880	0.273
P18669	0.273
P22626	0.273
P23396	0.273
P23588	0.273
P24534	0.273
P26447	0.273
P30086	0.273
P30101	0.273
P31327	0.273
P32119	0.273
P35527	0.273
P37802	0.273
P37840	0.273
P38646	0.273
P39748	0.273
P40925	0.273
P43487	0.273
P46781	0.273
P47756	0.273
P49321	0.273
P49368	0.273
P50395	0.273
P50990	0.273
P54578	0.273
P60842	0.273
P61586	0.273
P61978	0.273
P62244	0.273
P62277	0.273
P62318	0.273
P62701	0.273
P62841	0.273
P62917	0.273
P62979	0.273
P63241	0.273
P68363	0.273
P80723	0.273
P84098	0.273
Q02790	0.273
Q06830	0.273
Q08211	0.273
Q12905	0.273
Q14152	0.273
Q15293	0.273
Q16658	0.273
Q5T4S7	0.273
Q6PKG0	0.273
Q8NC51	0.273
Q92841	0.273
Q92945	0.273
Q9BUF5	0.273
Q9HB71	0.273
Q9Y490	0.273
A6NDG6	0.182
O00299	0.182
O00410	0.182
O00461	0.182
O00743	0.182
O14950	0.182
O15067	0.182
O15347	0.182
O15371	0.182
O43399	0.182
O60664	0.182
O60716	0.182
O60832	0.182
O75821	0.182
O95373	0.182
O95817	0.182
P02786	0.182
P04080	0.182
P04083	0.182
P05198	0.182
P05556	0.182
P05787	0.182
P06454	0.182
P07384	0.182
P08174	0.182
P08708	0.182
P09382	0.182
P11021	0.182
P11586	0.182
P11908	0.182
P13489	0.182
P14314	0.182
P14324	0.182
P14678	0.182
P14866	0.182
P14923	0.182
P15121	0.182
P16083	0.182
P17812	0.182
P17931	0.182
P17980	0.182
P18077	0.182
P19105	0.182
P20618	0.182
P20810	0.182
P21291	0.182
P23246	0.182
P23526	0.182
P25205	0.182
P26368	0.182
P26639	0.182
P27348	0.182
P27708	0.182
P27824	0.182
P28072	0.182
P29692	0.182
P31939	0.182
P31947	0.182
P32320	0.182
P32929	0.182
P32969	0.182
P33991	0.182
P33992	0.182
